"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"36003117001",1220557,NY,Wastewater,Receiving Collection,200597,200597,,,200597,200597,0,0,0,0,0,0,,,,,Y,
"36004033001",1220731,NY,Wastewater,Receiving Collection,4000,4000,,,4000,4000,0,0,0,0,0,0,,,,,Y,
"36004142001",1220805,NY,Wastewater,Receiving Collection,344,344,312,312,344,344,312,312,1,1,344,344,,,,,,Y
"36005025001",1220841,NY,Wastewater,Receiving Collection,623,623,10,10,623,623,10,10,1,1,623,623,,,,,,Y
"36005045001",1220859,NY,Wastewater,Receiving Collection,15272,15272,,,21593,21593,0,0,1,1,21593,21593,,,,,Y,Y
"36006003001",1220933,NY,Wastewater,Receiving Collection,260,260,,,260,260,0,0,0,0,0,0,,,,,Y,
"36008255001",1221332,NY,Wastewater,Receiving Collection,1654,1654,,,1654,1654,0,0,1,1,1654,1654,,,,,,Y
"55000510001",1206082,WI,Wastewater,Receiving Collection,953,953,0,0,953,953,0,0,0,0,0,0,,,,,Y,
"36009058001",1221377,NY,Wastewater,Receiving Collection,690,690,,,690,690,0,0,1,1,690,690,,,,,,Y
"36009082001",1221408,NY,Wastewater,Receiving Collection,2621,2621,,,2621,2621,0,0,0,0,0,0,,,,,Y,
"42004030001",1227212,PA,Wastewater,Receiving Collection,12328,12328,5110,5110,12328,12328,5110,5110,1,1,12328,12328,,,,,,Y
"55000770001",1206114,WI,Wastewater,Receiving Collection,397,397,,,397,397,0,0,1,1,397,397,1,1,397,397,,Y
"48005022004",1227873,TX,Wastewater,Receiving Collection,18000,18000,,,18000,18000,0,0,1,1,18000,18000,,,,,,Y
"48005053001",1227878,TX,Wastewater,Receiving Collection,8607,8607,,,8607,8607,0,0,1,1,8607,8607,,,,,,Y
"55005050001",1229249,WI,Wastewater,Receiving Collection,24743,24743,,,24743,24743,0,0,1,1,24743,24743,,,,,,Y
"31000675001",1230195,NE,Wastewater,Receiving Collection,363,363,,,363,363,0,0,1,1,363,363,1,1,363,363,,Y
"31001355001",1230219,NE,Wastewater,Receiving Collection,399,399,,,399,399,0,0,1,1,399,399,1,1,399,399,,Y
"31002219001",1230258,NE,Wastewater,Receiving Collection,146,161,,,146,161,0,0,1,1,146,161,,,,,,Y
"31002320001",1230261,NE,Wastewater,Receiving Collection,544,544,,,544,544,0,0,1,1,544,544,,,,,,Y
"55000820001",1206118,WI,Wastewater,Receiving Collection,2023,2023,,,2023,2023,0,0,0,0,0,0,,,,,Y,
"27000036001",1231485,MN,Wastewater,Receiving Collection,22114,22114,7522,7522,23826,23826,7522,7522,1,1,23826,23826,,,,,Y,Y
"55001050001",1206146,WI,Wastewater,Receiving Collection,422,422,,,422,422,0,0,1,1,422,422,,,,,,Y
"27000068001",1231488,MN,Wastewater,Receiving Collection,3797,3797,,,3797,3797,0,0,0,0,0,0,,,,,Y,
"55001305001",1206169,WI,Wastewater,Receiving Collection,7352,7352,,,7352,7352,0,0,0,0,0,0,,,,,Y,
"27005105001",1231540,MN,Wastewater,Receiving Collection,2027,2027,,,2027,2027,0,0,1,1,2027,2027,,,,,,Y
