"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"08000093001",1066895,CO,Discharge To Another Facility,100,100,"08209000126"
"08000098001",1066899,CO,Outfall To Surface Waters,100,100,
"08000163001",1066958,CO,Outfall To Surface Waters,100,100,
"08000168001",1066963,CO,Outfall To Surface Waters,100,100,
"08000299001",1067085,CO,Evaporation,100,100,
"34001256001",1073388,NJ,Discharge To Another Facility,100,100,"34001090001"
"34002510001",1073591,NJ,Discharge To Another Facility,100,100,"34002114002"
"34003079001",1073639,NJ,Ocean Discharge,100,100,
"34003414001",1073657,NJ,Discharge To Another Facility,100,100,"34003099001"
"34004336001",1073722,NJ,Discharge To Another Facility,100,100,"34004013001"
"12000037012",1078149,FL,Reuse: Impoundments,100,100,
"12000144001",1078302,FL,Discharge To Another Facility,100,100,"12000145001"
"39000041001",1080463,OH,Outfall To Surface Waters,100,100,
"39000142001",1080567,OH,Discharge To Another Facility,71,71,"39007169001"
"39000142001",1080567,OH,Discharge To Another Facility,29,29,"39006125001"
"39000242001",1080664,OH,Outfall To Surface Waters,50,50,
"39000242001",1080664,OH,Reuse: Landscape-related irrigation,50,50,
"39000263001",1080679,OH,Discharge To Another Facility,100,100,"39004650001"
"39000325001",1080735,OH,Discharge To Another Facility,100,100,"39000326001"
"39002141001",1080984,OH,Outfall To Surface Waters,100,100,
"39004557001",1081187,OH,Outfall To Surface Waters,100,100,
"39006398001",1081449,OH,Outfall To Surface Waters,100,100,
"39007623001",1081545,OH,Outfall To Surface Waters,100,100,
"39007987001",1081571,OH,Outfall To Surface Waters,100,100,
"39008722001",1081662,OH,Outfall To Surface Waters,100,100,
"26000152001",1088390,MI,Outfall To Surface Waters,100,100,
"26000313001",1088451,MI,Outfall To Surface Waters,100,100,
"26000313002",1088452,MI,Discharge To Another Facility,100,100,"26000313001"
"26000518001",1088571,MI,Outfall To Surface Waters,100,100,
"26002186001",1088820,MI,Reuse: Environmental restoration and groundwater discharge,100,100,
"26003018001",1088832,MI,Reuse: Environmental restoration and groundwater discharge,100,100,
"26003054001",1088861,MI,Outfall To Surface Waters,100,100,
"26003057001",1088864,MI,Outfall To Surface Waters,100,100,
"26003058001",1088865,MI,Outfall To Surface Waters,100,100,
"26003198001",1088953,MI,Reuse: Environmental restoration and groundwater discharge,100,100,
"25000034001",1092336,MA,Outfall To Surface Waters,89,89,
"54000208001",1094702,WV,Outfall To Surface Waters,100,100,
"54004120001",1095199,WV,Outfall To Surface Waters,100,100,
"54004215001",1095213,WV,Outfall To Surface Waters,100,100,
"54005199001",1095291,WV,Discharge To Another Facility,100,100,"54003413001"
"54005505000",1095329,WV,Outfall To Surface Waters,100,100,
"33000062002",1100952,NH,Outfall To Surface Waters,100,100,
"33000094001",1100981,NH,Outfall To Surface Waters,100,100,
"01000100001",1101932,AL,Discharge To Another Facility,100,100,"01000276002"
"02000120001",1104801,AK,Ocean Discharge,100,100,
"05000076001",1104914,AR,Outfall To Surface Waters,100,100,
"05000166001",1104997,AR,Outfall To Surface Waters,100,100,
"05000363001",1105178,AR,Outfall To Surface Waters,100,100,
"05000507001",1105307,AR,Outfall To Surface Waters,100,100,
