"CWNS_ID","FACILITY_ID","STATE_CODE","COST_METHOD","FACILITY_DOCUMENT_CET_ID","FACILITY_DOCUMENT_COST_ID","CONSTRUCTION_TYPE","SIZING_METHOD","COUNTY_ID","COUNTY_NAME","NUM_HOME_SERVED","POP_SERVED","POP_PER_HOUSEHOLD"
"48000000509",3614070,TX,Decentralized,10685,52222,New,Number of Homes Served,2545,Gonzales,1848,,2.77
"48000000511",3614072,TX,Decentralized,10686,52223,New,Number of Homes Served,2547,Grayson,12532,,2.65
"48000000512",3614073,TX,Decentralized,10687,52224,New,Number of Homes Served,2548,Gregg,2900,,2.61
"48003200002",432079,TX,Decentralized,10688,52225,New,Number of Homes Served,2549,Grimes,5076,,2.72
"48001097001",3542800,TX,Decentralized,10689,52226,New,Number of Homes Served,2550,Guadalupe,8824,,2.9
"48000000513",3614074,TX,Decentralized,10690,52227,New,Number of Homes Served,2551,Hale,644,,2.89
"48000000515",3614076,TX,Decentralized,10691,52228,New,Number of Homes Served,2553,Hamilton,828,,2.7
"48000000517",3614078,TX,Decentralized,10692,52229,New,Number of Homes Served,2555,Hardeman,20,,2.45
"48000000518",3614079,TX,Decentralized,10693,52230,New,Number of Homes Served,2556,Hardin,2296,,2.73
"48000000519",3614080,TX,Decentralized,10694,52231,New,Number of Homes Served,2557,Harris,15804,,2.87
"48000000520",3614081,TX,Decentralized,10695,52232,New,Number of Homes Served,2558,Harrison,3104,,2.8
"48000000521",3614082,TX,Decentralized,10696,52233,New,Number of Homes Served,2559,Hartley,56,,2.46
"48000000522",3614083,TX,Decentralized,10697,52234,New,Number of Homes Served,2560,Haskell,40,,2.45
"48000000523",3614084,TX,Decentralized,10698,52235,New,Number of Homes Served,2561,Hays,12632,,2.81
"48000000525",3614086,TX,Decentralized,10699,52239,New,Number of Homes Served,2563,Henderson,7168,,2.59
"48001176002",441461,TX,Decentralized,10700,52240,New,Number of Homes Served,2564,Hidalgo,27000,,3.55
"48000000526",3614090,TX,Decentralized,10721,52392,New,Number of Homes Served,2565,Hill,3780,,2.67
"48000000527",3614091,TX,Decentralized,10722,52403,New,Number of Homes Served,2566,Hockley,1224,,2.79
"48000000528",3614092,TX,Decentralized,10723,52410,New,Number of Homes Served,2567,Hood,10140,,2.6
"48000000529",3614094,TX,Decentralized,10724,52467,New,Number of Homes Served,2568,Hopkins,2712,,2.68
"48000000530",3614095,TX,Decentralized,10725,52471,New,Number of Homes Served,2569,Houston,652,,2.4
"48000000531",3614096,TX,Decentralized,10726,52472,New,Number of Homes Served,2570,Howard,1428,,2.84
"48000000533",3614098,TX,Decentralized,10727,52476,New,Number of Homes Served,2572,Hunt,12156,,2.75
"48000000534",3614099,TX,Decentralized,10728,52509,New,Number of Homes Served,2573,Hutchinson,596,,3.06
"48000000535",3614100,TX,Decentralized,10729,52513,New,Number of Homes Served,2574,Irion,44,,2.38
"48000000536",3614111,TX,Decentralized,10730,52523,New,Number of Homes Served,2575,Jack,136,,2.44
"48000000537",3614125,TX,Decentralized,10731,52530,New,Number of Homes Served,2576,Jackson,1292,,2.97
"48002079002",435410,TX,Decentralized,10701,52241,New,Number of Homes Served,2581,Jim Wells,2544,,3.12
"48000000541",3614321,TX,Decentralized,10861,54435,New,Number of Homes Served,2582,Johnson,15468,,2.87
"48000000542",3614322,TX,Decentralized,10862,54437,New,Number of Homes Served,2585,Kaufman,11036,,3.22
"48001057001",3515316,TX,Decentralized,10702,52243,New,Number of Homes Served,2590,Kimble,160,,2.43
"48002036003",3340002,TX,Decentralized,10703,52244,New,Number of Homes Served,2593,Kleberg,1104,,2.66
"48007781002",429612,TX,Decentralized,10704,52245,New,Number of Homes Served,2602,Liberty,11556,,2.84
"48000000548",3614330,TX,Decentralized,10868,54460,New,Number of Homes Served,2611,McLennan,8572,,2.68
"48000000547",3614329,TX,Decentralized,10867,54455,New,Number of Homes Served,2626,Montgomery,41268,,2.87
"48000000546",3614328,TX,Decentralized,10866,54450,New,Number of Homes Served,2640,Parker,27464,,2.99
"48000897001",3543159,TX,Decentralized,10705,52246,New,Number of Homes Served,2659,San Augustine,1204,,2.33
"48001417002",459628,TX,Decentralized,10706,52247,New,Number of Homes Served,2661,San Patricio,2168,,2.89
"48001196002",453629,TX,Decentralized,10707,52248,New,Number of Homes Served,2670,Starr,2276,,3.92
"48000000544",3614326,TX,Decentralized,10864,54444,New,Number of Homes Served,2697,Williamson,15432,,3.02
"48000000545",3614327,TX,Decentralized,10865,54449,New,Number of Homes Served,2700,Wise,14528,,2.92
"51000010169",3541164,VA,Decentralized,5148,23263,Replace,Number of Homes Served,2749,Accomack,2157,,2.35
"51000010041",3540885,VA,Decentralized,7244,33884,New,Number of Homes Served,2749,Accomack,3661,,2.35
"51000010225",3542067,VA,Decentralized,5161,23273,Replace,Number of Homes Served,2750,Albemarle,1215,,2.42
"51000010101",3541841,VA,Decentralized,5158,23271,New,Number of Homes Served,2750,Albemarle,4656,,2.42
"51000010002",3539359,VA,Decentralized,8549,38927,New,Number of Homes Served,2751,Alleghany,389,,2.24
"51000010130",3540736,VA,Decentralized,8550,38928,Replace,Number of Homes Served,2751,Alleghany,52,,2.24
"51000010074",3541519,VA,Decentralized,8551,38929,New,Number of Homes Served,2752,Amelia,1532,,2.59
"51000010200",3541850,VA,Decentralized,8552,38930,Replace,Number of Homes Served,2752,Amelia,317,,2.59
"51000010144",3541136,VA,Decentralized,8554,38932,Replace,Number of Homes Served,2753,Amherst,654,,2.52
"51000010016",3540520,VA,Decentralized,8553,38931,New,Number of Homes Served,2753,Amherst,1825,,2.52
"51000010145",3541137,VA,Decentralized,8556,38934,Replace,Number of Homes Served,2754,Appomattox,221,,2.57
"51000010017",3540538,VA,Decentralized,8555,38933,New,Number of Homes Served,2754,Appomattox,1833,,2.57
"51000010008",3540476,VA,Decentralized,8557,38935,New,Number of Homes Served,2756,Augusta,3216,,2.4
"51000010136",3540617,VA,Decentralized,8558,38936,Replace,Number of Homes Served,2756,Augusta,513,,2.4
"51000010009",3540478,VA,Decentralized,8581,39120,New,Number of Homes Served,2757,Bath,257,,2.28
"51000010137",3540636,VA,Decentralized,8579,39117,Replace,Number of Homes Served,2757,Bath,40,,2.28
"51000010019",3540556,VA,Decentralized,8582,39121,New,Number of Homes Served,2758,Bedford,7070,,2.49
"51000010147",3541139,VA,Decentralized,8583,39122,Replace,Number of Homes Served,2758,Bedford,834,,2.49
"51000010055",3541182,VA,Decentralized,8585,39127,New,Number of Homes Served,2759,Bland,473,,2.32
"51000010183",3541499,VA,Decentralized,8584,39123,Replace,Number of Homes Served,2759,Bland,72,,2.32
"51000010131",3540756,VA,Decentralized,8587,39129,Replace,Number of Homes Served,2760,Botetourt,389,,2.49
"51000010003",3539376,VA,Decentralized,8586,39128,Replace,Number of Homes Served,2760,Botetourt,1199,,2.49
